Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
4814,"Brand New 8 Bedroom Detached Duplex On 1,200m2 Land With 2 Rooms Bq",Oba Dosumu St. Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,8 beds,8 baths,9 Toilets,GRA
4815,"Fairly Used 5 Bedroom Detached Duplex On 1,000m2 Land",Off Ladoke Akintola St Ikeja Gra Ikeja Lagos,₦,"280,000,000",0,0,0,5 beds,5 baths,5 Toilets,GRA
4816,5 Bedroom Duplex,Adeniyi Jones Adeniyi Jones Ikeja Lagos,₦,"98,000,000",0,0,0,5 beds,5 baths,5 Toilets,Adeniyi Jones
4817,1000m2 Residential Land,"Oba Dosumu St, Ikeja Gra Ikeja Lagos",₦,"190,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4818,Brand New 5 Bedroom Detached Duplex On 500m2 Land With A Room Bq,Off Showemimo St. Ikeja Gra Ikeja Lagos,₦,"190,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
4819,1500m2 Land,"Showemimo St, Ikeja Gra Ikeja Lagos",₦,"350,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4820,3700m2 Commercial Land,Oba Akinjobi Street Ikeja Gra Ikeja Lagos,₦,"255,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4821,Fairly New 5 Bedroom Detached Duplex On 500m2 Land With 2 Rooms Bq,Off Sobo Arobiodu St Ikeja Gra Ikeja Lagos,₦,"220,000,000",0,0,0,5 beds,5 baths,5 Toilets,GRA
4822,3 Bedroom Flat With A Room Bq,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"80,000,000",0,0,0,3 beds,3 baths,4 Toilets,GRA
4823,"1,000m2 Mixed Dev Land",Adekunle Fajuyi Way Ikeja Gra Ikeja Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4824,Land,Gra Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
