Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
75,Land,"Loius Solomon Close, Victoria Island Victoria Island Lagos",₦,"1,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
76,2 Bedroom Serviced Apartment,Victoria Island Lagos,₦,"120,000,000",1,0,0,2 beds,2 baths,3 Toilets,Other Victoria Island
77,Luxury 3bedroom Flat,Ahmadu Bello Way Victoria Island Lagos,₦,"230,000,000",0,0,0,3 beds,3 baths,4 Toilets,Other Victoria Island
78,Open Plan Office Space For Sale,"Along Walter Carrington, Ozumba Mbadiwe Victoria Island Extension Victoria Island Lagos",$,"30,000,000",0,0,0, beds, baths, Toilets,Victoria Island Extension
79,Mixed Used Development On 7 Floors,Akin Adesola Victoria Island Lagos,₦,"7,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
80,30 Room Hotel For Sale In Victoria Island,Victoria Island Lagos,₦,"4,500,000,000",1,0,1,10 beds,10 baths,10 Toilets,Other Victoria Island
81,2 Bedroom Luxury Apartments,Prince Adesegun Oniru Victoria Island Lagos,₦,"80,000,000",1,1,0,2 beds,2 baths,3 Toilets,Oniru
82,3 Bedroom Apartments Plus 1room Bq For Sale,Mabogunje Road Oniru Victoria Island Lagos,₦,"150,000,000",1,1,1,3 beds,3 baths,4 Toilets,Oniru
83,800 Sqm Land,Oniru Victoria Island Lagos,₦,"300,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oniru
84,3 Bedroom Serviced Apartment,Oniru Victoria Island Lagos,₦,"80,000,000",1,0,0,3 beds,3 baths,4 Toilets,Oniru
85,Tastefully Finished 5 Bedroom Fully Detached Duplex,Oniru Victoria Island Lagos,₦,"250,000,000",0,1,0,5 beds,5 baths,6 Toilets,Oniru
86,10 Units Of 3 Bedrooms Flat,Kofo Abayomi Street Kofo Abayomi Victoria Island Lagos,₦,"8,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
87,5 Bedroom Detached Duplex,Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Victoria Island
88,Well Finished 7th Floor Open Plan Space 240 Sqm,By Idowu Taylor Idowu Taylor Victoria Island Lagos,₦,"220,000,000",0,0,1, beds, baths, Toilets,Other Victoria Island
89,Smart 6 Bedroom Detached House,Vi Victoria Island Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
90,4100 Joint Venture Landbridge Avenue Oniru Victoria Island*,Oniru Victoria Island Lagos,₦,"1,400,000,000",0,0,0, beds, baths, Toilets,Oniru
91,2 Bedroom Furnished Apartment,Eko Atlantic Eko Atlantic Victoria Island Lagos,$,"750,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
92,4bedroom Terraced Duplex With 1room,Off Palace Way Oniru Victoria Island Lagos,₦,"160,000,000",0,0,0,4 beds,4 baths,5 Toilets,Oniru
93,Lovely 6 Bedroom Detached Duplex With 2 Rooms Bq Sitting On 750sqm,Off Bishop Oluwole Street Victoria Island Lagos,₦,"360,000,000",0,0,0,6 beds, baths, Toilets,Other Victoria Island
94,Luxury 3 Bedroom Apartment,Oniru Estate Oniru Victoria Island Lagos,₦,"85,000,000",1,1,0,3 beds,2 baths,3 Toilets,Oniru
95,Contemporary 4 Bedroom Detached Duplex,"Oniru, Victoria Island (vi), Lagos Oniru Victoria Island Lagos",₦,"190,000,000",0,1,1,4 beds,4 baths,5 Toilets,Oniru
96,3 Bedroom Flat With 247 Electricity,Oniru Oniru Victoria Island Lagos,₦,"60,000,000",1,0,0,3 beds,3 baths,4 Toilets,Oniru
97,Office Tower,Eko Atlantic Eko Atlantic Victoria Island Lagos,$,"60,000,000",0,0,0,10 beds,10 baths,10 Toilets,Other Victoria Island
98,Luxurious Newly Built 3 Bedroom Flat,Eko Atlantic City Victoria Island Lagos Eko Atlantic Victoria Island Lagos,₦,"432,000,000",1,1,0,3 beds,4 baths,4 Toilets,Other Victoria Island
99,Land,Sanusi Fafunwa Victoria Island Lagos,₦,"400,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
100,4 Bedrooms Terrace + 1 Room Bq,Oniru Victoria Island Lagos,₦,"95,000,000",0,0,0,4 beds,4 baths,5 Toilets,Oniru
101,Brand New 3 Bedroom Flat With Bq,Oniru Victoria Island Lagos,₦,"90,000,000",0,1,0,3 beds,3 baths,4 Toilets,Oniru
102,3 Bedroom Maisonette,Victoria Island Lagos,₦,"150,000,000",1,0,0,3 beds,3 baths,3 Toilets,Other Victoria Island
103,Standard 5 Star Hotel,Kofo Abayomi Victoria Island Lagos,$,"160,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
104,Ready To Build Corner Piece Of 1400sqm Of Land With Governor Consent,Akin Adesola Victoria Island Lagos,₦,"1,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
105,3 Bedroom Luxury Apartments,Prince Adesegun Oniru Victoria Island Lagos Oniru Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,3 baths,4 Toilets,Oniru
106,Tastefully Finished 3 Bed Apartment With Bq,Victoria Island Lagos,₦,"150,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Victoria Island
107,An Office Building In The Heart Of Victoria Isl,Akin Adesola Victoria Island Lagos,₦,"5,000,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
108,Land,Off Water Corporation Road Victoria Island Lagos,₦,"2,100,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
109,Newly Built 2bedroom Apartment,Victoria Island Extension Victoria Island Lagos,₦,"290,000,000",1,1,0,2 beds,2 baths,3 Toilets,Victoria Island Extension
110,4 Bedroom Maisonette + Bq,Off Idejo Street Victoria Island Lagos,₦,"250,000,000",0,0,0,4 beds,4 baths,5 Toilets,Other Victoria Island
111,3 Bedroom Serviced Apartment,Oniru Victoria Island Lagos,₦,"70,000,000",1,0,0,3 beds,3 baths,4 Toilets,Oniru
112,Land,"Louis Solomon, Victoria Island Victoria Island Lagos",₦,"1,300,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
113,Spacious 4 Bedroom Fully Detached Duplex With Bq Jnf,Oniru Victoria Island Lagos,₦,"180,000,000",0,0,0,4 beds,4 baths,6 Toilets,Oniru
114,Two Storey Building,Murin Okunola Victoria Island Extension Victoria Island Lagos,₦,"600,000,000",0,0,0,2 beds,2 baths,2 Toilets,Victoria Island Extension
115,"Land Measuring 11639sqm Located At Eko Atlantic, V.i",Eko Atlantic Victoria Island Lagos,₦,"11,639,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
116,Two Storey Commercial Building,Off Adeola Odeku Victoria Island Lagos,₦,"700,000,000",0,0,0,0 beds,0 baths,0 Toilets,Waziri Adeola Odeku
117,"Newly Built 3 Bedroom Terrace Duplex, Communal Swimming Pool And A Room Bq",Vi Victoria Island Lagos,₦,"220,000,000",0,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
118,5 Bedroom Detached Duplex With Swimming Pool,"Oniru, Victoria Island, Lagos Oniru Victoria Island Lagos",₦,"270,000,000",0,1,1,5 beds,5 baths,6 Toilets,Oniru
119,Serviced 3 Bedroom Apartment With 1 Room Bq,Oniru Estate Oniru Victoria Island Lagos,₦,"80,000,000",0,0,0,3 beds,3 baths,3 Toilets,Oniru
120,Well Developed & Newly Built 4bedroom Terrace Duplex,Oniru Victoria Island Lagos,₦,"150,000,000",0,0,0,4 beds,4 baths,5 Toilets,Oniru
121,2200sq Bareland Fenced With Gate,Bishop Kale Close Off Saka Tinubu Saka Tinubu Victoria Island Lagos,₦,"2,000,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
122,4 Bedroom Terrace House With A Room Bq,"Off Adeola Odeku Street, Victoria Island, Lagos Adeola Odeku Victoria Island Lagos",₦,"220,000,000",0,0,0,4 beds,4 baths,5 Toilets,Waziri Adeola Odeku
123,Strategically Located 5 Bed Fully Detached Duplex With Swimming Pool Okny,Oniru Victoria Island Lagos,₦,"280,000,000",0,1,0,5 beds,5 baths,7 Toilets,Oniru
124,"1,287sqm Land (joint Ventures)","Muri Okunola Street, Former Cool Fm Building Victoria Island Lagos",₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
125,Commerical Property On A 599sqm Of Land,Ajose Adeogun Victoria Island Lagos,₦,"350,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
126,3bedroom Luxury Flat,Victoria Island Lagos,₦,"10,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Victoria Island
127,4 Bedroom Luxury Terrace,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,4 beds,4 baths,5 Toilets,Oniru
128,Newly Built Luxury 3 Bedroom Apartment With Swimming Pool,Victoria Island Lagos,₦,"120,000,000",0,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
129,Well Titled 800sqm Of Land In A Fantastic Location,"Off Palace Road, Oniru Victoria Island Extension Victoria Island Lagos",₦,"300,000,000",0,0,0, beds, baths, Toilets,Victoria Island Extension
130,Functional 27 Rooms Hotel,Victoria Island Lagos,₦,"1,300,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
131,Newly Built 4 Bedrooms Semi Detached,Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,4 beds,0 baths,0 Toilets,Oniru
132,A Modern Purpose Built 7 Floors Hospital,Oniru Oniru Victoria Island Lagos,₦,"10,000,000,000",1,1,1, beds, baths, Toilets,Oniru
133,"Tastefully Finished, Serviced 3 Bedroom Flat",Off Ajose Adeogun Victoria Island Lagos,₦,"170,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Victoria Island
134,Fully Furnished 3 Bedroom High Rise Apartment,"Eko Pearl, Eko Atlantic Victoria Island Lagos",$,"960,000",0,0,0,3 beds, baths, Toilets,Other Victoria Island
135,2 Bedroom Flat,1004 Victoria Island Lagos,₦,"57,000,000",0,0,1,2 beds,0 baths,0 Toilets,Other Victoria Island
136,Newly Built 4 Bedroom Maisionette,Oniru Victoria Island Lagos,₦,"240,000,000",1,1,0,4 beds,4 baths,5 Toilets,Oniru
137,Newly Built 4 Bedroom Terrace Duplex With Communal Swimming Pool And A Room Bq,Vi Victoria Island Lagos,₦,"210,000,000",0,1,0,4 beds,4 baths,5 Toilets,Other Victoria Island
138,"11,500 Sq Mtrs Land With Approved Building Plan",Oniru Estate Oniru Victoria Island Lagos,₦,"3,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oniru
139,Corner Piece Land With Structures On It Measuring 1.230sqms,Bishop Bayodecole/festival Street Off Ademola Adetokunbo Victoria Island Lagos Ademola Adetokunbo Victoria Island Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
140,3700 Sqm Land For Joint Venture,Adeola Odeku Victoria Island Lagos,₦,"3,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Waziri Adeola Odeku
141,3 Bedroom Serviced Flat With A Room Bq,Victoria Island Lagos,₦,"130,000,000",0,0,0,3 beds,0 baths,0 Toilets,Other Victoria Island
142,1 Bedroom Flat,"Off Palace Road, Oniru Oniru Victoria Island Lagos",₦,"40,000,000",0,0,0,1 beds,1 baths,2 Toilets,Oniru
143,Hospital Building With 7 Floors Available, Oniru Victoria Island Lagos,₦,"8,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oniru
144,Well Maintained 4bedroom Terraced Duplex,Oniru Victoria Island Lagos,₦,"70,000,000",1,1,0,4 beds,4 baths,5 Toilets,Oniru
145,2 Bedroom Luxury Apartment,Bonny Camp Victoria Island Lagos,₦,"180,000,000",1,0,0,2 beds,2 baths,3 Toilets,Other Victoria Island
146,2000 6000sqm Land,Eko Atlantic Estate Eko Atlantic Victoria Island Lagos,$,"2,500",0,0,0, beds, baths, Toilets,Other Victoria Island
147,Complex Of 4500sqm Lettable Spaces,Victoria Island Lagos,₦,"2,200,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
148,Serviced Luxury 3 Bedroom Apartment,Victoria Island Lagos,₦,"125,000,000",1,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
149,Property Of 1260.42sqm,Victoria Island Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
150,4 Bedroom Bungalow,Off Kofi Abayomi Kofo Abayomi Victoria Island Lagos,₦,"130,000,000",0,0,0,4 beds,4 baths,4 Toilets,Other Victoria Island
151,Office Tower,Eko Atlantic City Victoria Island Lagos,$,"60,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
152,Land,Victoria Island Lagos,₦,"2,500,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
153,4600sqm* *fenced And Gated With *approval* *for* *commercial* *purposes*,Oniru Oniru Victoria Island Lagos,₦,"1,200,000,000",0,0,0, beds, baths, Toilets,Oniru
154,Land,Victoria Island Lagos,₦,"180,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
155,Land,Oniru Victoria Island Lagos,₦,"310,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oniru
156,Office Space,Bishop Oluwole Victoria Island Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Victoria Island
157,4 Bedroom Semi Detach House +1room Bq,Oniru Victoria Island Lagos,₦,"180,000,000",0,1,0,4 beds,0 baths,0 Toilets,Oniru
158,Executive 30 Rooms Hotel,Opposite Eko Hotel Adeola Odeku Victoria Island Lagos,₦,"3,500,000,000",1,0,1,0 beds,10 baths,10 Toilets,Waziri Adeola Odeku
159,Fantastic 3 Bedroom Flat,1004 Victoria Island Lagos,₦,"65,000,000",0,0,1,3 beds,0 baths,0 Toilets,Other Victoria Island
160,2700sq Demolishable Structure,Idowu Martins Opp. Mega Plaza Victoria Island Lagos,₦,"2,700,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
